File,Original Sentence Count,Processed Sentence Count
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/McCulloch v Maryland  National Constitution Center  Khan Academy_expanded.txt",192,190
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Tenth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt",120,114
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Article V of the Constitution  National Constitution Center  Khan Academy_expanded.txt",170,250
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/McDonald v Chicago  National Constitution Center  Khan Academy_expanded.txt",101,103
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Article IV of the Constitution  National Constitution Center  Khan Academy_expanded.txt",125,126
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Unadopted amendments to the Bill of Rights  US government and civics  Khan Academy_expanded.txt",154,153
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Fifth Amendment  The National Constitution Center  Khan Academy_expanded.txt",121,121
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Third Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt",134,134
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Sixth Amendment  National Constitution Center  Khan Academy_expanded.txt",136,132
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Ninth Amendment  US government and civics  Khan Academy_expanded.txt",118,118
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Roe v Wade  National Constitution Center  Khan Academy_expanded.txt",104,104
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Brown v Board of Education of Topeka  National Constitution Center  Khan Academy_expanded.txt",117,130
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/Article II of the Constitution  US Government and Politics  Khan Academy_expanded.txt",148,148
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Eighth Amendment  National Constitution Center  Khan Academy_expanded.txt",191,190
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Constitution Bill of Rights and Landmark Supreme Court Cases - Course Trailer_expanded.txt",12,12
"Khan Academy/The Consitution, Bill of Rights, and Landmark Supreme Court Cases/The Seventh Amendment  US government and civics  Khan Academy_expanded.txt",108,106
Khan Academy/American political beliefs and behaviors | US government and/Political ideology and economics  US government and civics  Khan Academy_expanded.txt,49,50
Khan Academy/American political beliefs and behaviors | US government and/Generational and lifecycle effects on political ideology  US government and civics  Khan Academy_expanded.txt,37,37
Khan Academy/American political beliefs and behaviors | US government and/American attitudes about government and politics  US government and civics  Khan Academy_expanded.txt,87,87
Khan Academy/American political beliefs and behaviors | US government and/Ideology and social policy  US government and civics  Khan Academy_expanded.txt,79,79
Khan Academy/American political beliefs and behaviors | US government and/Political socialization  US government and civics  Khan Academy_expanded.txt,41,41
Khan Academy/American political beliefs and behaviors | US government and/Ideologies of political parties in the United States  US government and civics  Khan Academy_expanded.txt,68,68
Khan Academy/Period 8: 1945-1980 | AP US History | Khan Academy/Cuban Missile Crisis  The 20th century  World history  Khan Academy_expanded.txt,236,254
Khan Academy/Period 8: 1945-1980 | AP US History | Khan Academy/Bay of Pigs Invasion  The 20th century  World history  Khan Academy_expanded.txt,139,153
Khan Academy/Period 8: 1945-1980 | AP US History | Khan Academy/Korean War overview  The 20th century  World history  Khan Academy_expanded.txt,210,210
Khan Academy/Period 8: 1945-1980 | AP US History | Khan Academy/Origins of the Cold War_expanded.txt,93,102
Khan Academy/Period 8: 1945-1980 | AP US History | Khan Academy/Continuity and change in the postwar era  Period 8 1945-1980  AP US History  Khan Academy_expanded.txt,75,71
Khan Academy/Period 8: 1945-1980 | AP US History | Khan Academy/Vietnam War  The 20th century  World history  Khan Academy_expanded.txt,131,129
Khan Academy/Period 8: 1945-1980 | AP US History | Khan Academy/Communism  The 20th century  World history  Khan Academy_expanded.txt,181,180
Khan Academy/Period 2: 1607-1754 | AP US History/Society and religion in the New England colonies  AP US History  Khan Academy_expanded.txt,70,70
Khan Academy/Period 2: 1607-1754 | AP US History/The Middle colonies  Period 2 1607-1754  AP US History  Khan Academy_expanded.txt,59,59
Khan Academy/Period 2: 1607-1754 | AP US History/Politics and indigenous relations in the New England colonies  AP US History  Khan Academy_expanded.txt,55,55
Khan Academy/Period 2: 1607-1754 | AP US History/The Lost Colony of Roanoke - settlement and disappearance_expanded.txt,120,120
Khan Academy/Period 2: 1607-1754 | AP US History/Jamestown - life and labor in the Chesapeake_expanded.txt,62,61
Khan Academy/Period 2: 1607-1754 | AP US History/Jamestown - John Smith and Pocahontas_expanded.txt,54,53
Khan Academy/Period 2: 1607-1754 | AP US History/England in the Age of Exploration_expanded.txt,25,25
Khan Academy/Period 2: 1607-1754 | AP US History/Jamestown - the impact of tobacco_expanded.txt,28,28
Khan Academy/Period 2: 1607-1754 | AP US History/Motivations for English colonization_expanded.txt,27,28
Khan Academy/Period 2: 1607-1754 | AP US History/Early English settlements - Jamestown_expanded.txt,30,30
Khan Academy/Period 2: 1607-1754 | AP US History/Developing an American colonial identity  Period 2 1607-1754  AP US History  Khan Academy_expanded.txt,60,60
Khan Academy/Period 2: 1607-1754 | AP US History/Slavery in the British colonies  Period 2 1607-1754  AP US History  Khan Academy_expanded.txt,29,29
Khan Academy/Period 2: 1607-1754 | AP US History/The Lost Colony of Roanoke - background and first attempts_expanded.txt,135,135
Khan Academy/Period 2: 1607-1754 | AP US History/Jamestown - Bacons Rebellion_expanded.txt,61,61
Khan Academy/Period 2: 1607-1754 | AP US History/French and Dutch colonization  Period 2 1607-1754  AP US History  Khan Academy_expanded.txt,45,45
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Later stages of the Civil War part 1_expanded.txt,9,49
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Uncle Toms Cabin part 2_expanded.txt,55,55
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Sectional conflict Regional differences  Period 5 1844-1877  AP US History  Khan Academy_expanded.txt,54,54
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Dred Scott v Sandford  The Civil War era (1844-1877)  US history  Khan Academy_expanded.txt,162,160
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/The Reconstruction Amendments Overview and 13th Amendment_expanded.txt,59,59
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Uncle Toms Cabin part 3_expanded.txt,81,80
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Failure of Reconstruction  AP US History  Khan Academy_expanded.txt,59,55
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Start of the Civil War  The Civil War era (1844-1877)  US History  Khan Academy_expanded.txt,133,131
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Antietam part 2_expanded.txt,45,45
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Plessy v Ferguson  The Gilded Age (1865-1898)  US history  Khan Academy_expanded.txt,125,123
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/The Gettysburg Address - part 1_expanded.txt,84,84
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Comparing the effects of the Civil War on American national identity  US history  Khan Academy_expanded.txt,79,79
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Slavery and Missouri Compromise in early 1800s  US History  Khan Academy_expanded.txt,99,99
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Big takeaways from the Civil War_expanded.txt,69,68
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Gettysburg_expanded.txt,88,131
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Manifest Destiny  Period 5 1844-1877  AP US History  Khan Academy_expanded.txt,73,73
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Reconstruction Amendments 15th Amendment_expanded.txt,63,63
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Strategy of the Civil War  The Civil War era (1844-1877)  US History  Khan Academy_expanded.txt,124,130
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Early phases of Civil War and Antietam  US History  Khan Academy_expanded.txt,107,107
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/The Mexican-American War  AP US History  Khan Academy_expanded.txt,68,74
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Later stages of the Civil War part 2_expanded.txt,59,73
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Reconstruction Amendments 14th Amendment_expanded.txt,63,63
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Uncle Toms Cabin part 1_expanded.txt,31,33
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/The Gettysburg Address part 2_expanded.txt,102,102
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Later stages of the Civil War part 3_expanded.txt,88,88
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Increasing political battles over slavery in mid 1800s  US History  Khan Academy_expanded.txt,95,95
Khan Academy/Period 5: 1844-1877 | AP US History | Khan Academy/Emancipation Proclamation  The Civil War era (1844-1877)  US History  Khan Academy_expanded.txt,90,90
Khan Academy/National Constitution Center Partner Videos/Brown v Board of Education of Topeka  US government and civics  Khan Academy_expanded.txt,110,120
Khan Academy/National Constitution Center Partner Videos/McDonald v Chicago  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,100,102
Khan Academy/National Constitution Center Partner Videos/Marbury v Madison  US government and civics  Khan Academy_expanded.txt,164,165
Khan Academy/National Constitution Center Partner Videos/Article III of the Constitution  US Government and Politics  Khan Academy_expanded.txt,137,137
Khan Academy/National Constitution Center Partner Videos/The First Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,145,146
Khan Academy/National Constitution Center Partner Videos/The Preamble to the Constitution  US Government and Politics  Khan Academy_expanded.txt,106,104
Khan Academy/National Constitution Center Partner Videos/Baker v Carr  Interactions among branches of government  US government and civics  Khan Academy_expanded.txt,126,126
Khan Academy/National Constitution Center Partner Videos/The Second Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,119,122
Khan Academy/National Constitution Center Partner Videos/Miranda v Arizona  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,142,142
Khan Academy/National Constitution Center Partner Videos/Article VII of the Constitution  US government and civics  Khan Academy_expanded.txt,174,174
Khan Academy/National Constitution Center Partner Videos/Article V of the Constitution  US government and civics  Khan Academy_expanded.txt,171,171
Khan Academy/National Constitution Center Partner Videos/Citizens United v Federal Election Commission  US government and civics  Khan Academy_expanded.txt,146,146
Khan Academy/National Constitution Center Partner Videos/Inspire your students to think like a judge! 🏛️ @ConstitutionCtr_expanded.txt,12,12
Khan Academy/National Constitution Center Partner Videos/McCulloch v Maryland  Foundations of American democracy  US government and civics  Khan Academy_expanded.txt,172,203
Khan Academy/National Constitution Center Partner Videos/Article I of the Constitution  US Government and Politics  Khan Academy_expanded.txt,115,119
Khan Academy/National Constitution Center Partner Videos/The Sixth Amendment  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,139,139
Khan Academy/National Constitution Center Partner Videos/The Tenth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,120,114
Khan Academy/National Constitution Center Partner Videos/The Fourth Amendment  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,129,129
Khan Academy/National Constitution Center Partner Videos/Article IV of the Constitution  US government and civics  Khan Academy_expanded.txt,119,119
Khan Academy/National Constitution Center Partner Videos/Article II of the Constitution  US Government and Politics  Khan Academy_expanded.txt,148,140
Khan Academy/National Constitution Center Partner Videos/The Eighth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,155,154
Khan Academy/National Constitution Center Partner Videos/Roe v Wade  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,112,114
Khan Academy/National Constitution Center Partner Videos/The Fifth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,127,127
Khan Academy/National Constitution Center Partner Videos/Article VI of the Constitution  US government and civics  Khan Academy_expanded.txt,128,124
Khan Academy/The Civil War era (1844-1877) | US History/Later stages of the Civil War part 1_expanded.txt,9,48
Khan Academy/The Civil War era (1844-1877) | US History/Uncle Toms Cabin part 2_expanded.txt,55,55
Khan Academy/The Civil War era (1844-1877) | US History/Sectional conflict Regional differences  Period 5 1844-1877  AP US History  Khan Academy_expanded.txt,54,54
Khan Academy/The Civil War era (1844-1877) | US History/Dred Scott v Sandford  The Civil War era (1844-1877)  US history  Khan Academy_expanded.txt,162,169
Khan Academy/The Civil War era (1844-1877) | US History/The Reconstruction Amendments Overview and 13th Amendment_expanded.txt,59,58
Khan Academy/The Civil War era (1844-1877) | US History/Uncle Toms Cabin part 3_expanded.txt,81,81
Khan Academy/The Civil War era (1844-1877) | US History/Start of the Civil War  The Civil War era (1844-1877)  US History  Khan Academy_expanded.txt,133,133
Khan Academy/The Civil War era (1844-1877) | US History/Antietam part 2_expanded.txt,45,45
Khan Academy/The Civil War era (1844-1877) | US History/The Gettysburg Address - part 1_expanded.txt,84,84
Khan Academy/The Civil War era (1844-1877) | US History/Comparing the effects of the Civil War on American national identity  US history  Khan Academy_expanded.txt,79,79
Khan Academy/The Civil War era (1844-1877) | US History/Slavery and Missouri Compromise in early 1800s  US History  Khan Academy_expanded.txt,99,99
Khan Academy/The Civil War era (1844-1877) | US History/Big takeaways from the Civil War_expanded.txt,69,69
Khan Academy/The Civil War era (1844-1877) | US History/Gettysburg_expanded.txt,88,129
Khan Academy/The Civil War era (1844-1877) | US History/Manifest Destiny  Period 5 1844-1877  AP US History  Khan Academy_expanded.txt,73,73
Khan Academy/The Civil War era (1844-1877) | US History/Reconstruction Amendments 15th Amendment_expanded.txt,63,62
Khan Academy/The Civil War era (1844-1877) | US History/Strategy of the Civil War  The Civil War era (1844-1877)  US History  Khan Academy_expanded.txt,124,130
Khan Academy/The Civil War era (1844-1877) | US History/Early phases of Civil War and Antietam  US History  Khan Academy_expanded.txt,107,107
Khan Academy/The Civil War era (1844-1877) | US History/Later stages of the Civil War part 2_expanded.txt,59,73
Khan Academy/The Civil War era (1844-1877) | US History/Reconstruction Amendments 14th Amendment_expanded.txt,63,63
Khan Academy/The Civil War era (1844-1877) | US History/Uncle Toms Cabin part 1_expanded.txt,31,31
Khan Academy/The Civil War era (1844-1877) | US History/The Gettysburg Address part 2_expanded.txt,102,102
Khan Academy/The Civil War era (1844-1877) | US History/Later stages of the Civil War part 3_expanded.txt,88,88
Khan Academy/The Civil War era (1844-1877) | US History/Increasing political battles over slavery in mid 1800s  US History  Khan Academy_expanded.txt,95,95
Khan Academy/The Civil War era (1844-1877) | US History/Emancipation Proclamation  The Civil War era (1844-1877)  US History  Khan Academy_expanded.txt,90,90
Khan Academy/Political participation | US government and civics/Primaries and caucuses  American civics  US History  Khan Academy_expanded.txt,56,56
Khan Academy/Political participation | US government and civics/Interest groups and lobbying  Political participation  US government and civics  Khan Academy_expanded.txt,62,62
Khan Academy/Political participation | US government and civics/Voting rights  Political participation  US government and civics  Khan Academy_expanded.txt,48,46
Khan Academy/Political participation | US government and civics/Congressional elections  Political participation  US government and civics  Khan Academy_expanded.txt,66,67
Khan Academy/Political participation | US government and civics/Citizens United v Federal Election Commission  US government and civics  Khan Academy_expanded.txt,146,146
Khan Academy/Political participation | US government and civics/The media and partisanship  Political partecipation  AP US Government and Politics  Khan Academy_expanded.txt,57,57
Khan Academy/Political participation | US government and civics/Models of voting behavior  Political participation  US government and civics  Khan Academy_expanded.txt,64,64
Khan Academy/Political participation | US government and civics/Electoral college  American civics  US History  Khan Academy_expanded.txt,101,105
Khan Academy/Political participation | US government and civics/Cost and duration of modern campaigns  US government and civics  Khan Academy_expanded.txt,62,62
Khan Academy/Political participation | US government and civics/The presidential incumbency advantage  US government and civics  Khan Academy_expanded.txt,39,39
Khan Academy/Political participation | US government and civics/Impact of media evolution on politics  US government and civics  Khan Academy_expanded.txt,37,37
Khan Academy/Political participation | US government and civics/Linkage institutions and political parties  US government and civics  Khan Academy_expanded.txt,71,71
Khan Academy/Political participation | US government and civics/Third parties in the United States  US government and civics  Khan Academy_expanded.txt,45,45
Khan Academy/Political participation | US government and civics/Campaign finance  Political participation  US government and civics  Khan Academy_expanded.txt,82,82
Khan Academy/Political participation | US government and civics/Open primaries closed primaries and blanket primaries  US government and civics  Khan Academy_expanded.txt,77,77
Khan Academy/Political participation | US government and civics/Media as a linkage institution  Political participation  US government and civics  Khan Academy_expanded.txt,44,44
Khan Academy/Political participation | US government and civics/Evolution of political parties in picking candidates and voter mobilization  Khan Academy_expanded.txt,48,49
Khan Academy/Political participation | US government and civics/Voter turnout  Political participation  US government and civics  Khan Academy_expanded.txt,124,124
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/The Fourteenth Amendment and equal protection  US government and civics  Khan Academy_expanded.txt,37,37
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/Brown v Board of Education of Topeka  US government and civics  Khan Academy_expanded.txt,110,110
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/McDonald v Chicago  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,100,102
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/The First Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,145,145
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/The Bill of Rights an introduction  US government and civics  Khan Academy_expanded.txt,33,33
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/The Second Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,119,122
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/Miranda v Arizona  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,142,142
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/The Sixth Amendment  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,139,139
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/Rulings on majority and minority rights by the Supreme Court  Khan Academy_expanded.txt,31,31
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/The Fourth Amendment  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,129,129
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/The Eighth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,155,153
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/Affirmative action  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,80,80
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/Selective incorporation  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,31,31
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/Roe v Wade  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,112,112
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/The Fifth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,127,127
Khan Academy/Civil liberties and civil rights | US government and civics | Khan/Letter from a Birmingham Jail  US government and civics  Khan Academy_expanded.txt,24,24
Khan Academy/Political participation | AP US Government and Politics | Khan/Primaries and caucuses  American civics  US History  Khan Academy_expanded.txt,56,56
Khan Academy/Political participation | AP US Government and Politics | Khan/Interest groups and lobbying  Political participation  US government and civics  Khan Academy_expanded.txt,62,63
Khan Academy/Political participation | AP US Government and Politics | Khan/Voting rights  Political participation  US government and civics  Khan Academy_expanded.txt,48,46
Khan Academy/Political participation | AP US Government and Politics | Khan/Congressional elections  Political participation  US government and civics  Khan Academy_expanded.txt,66,67
Khan Academy/Political participation | AP US Government and Politics | Khan/Citizens United v Federal Election Commission  US government and civics  Khan Academy_expanded.txt,146,146
Khan Academy/Political participation | AP US Government and Politics | Khan/The media and partisanship  Political partecipation  AP US Government and Politics  Khan Academy_expanded.txt,57,56
Khan Academy/Political participation | AP US Government and Politics | Khan/Models of voting behavior  Political participation  US government and civics  Khan Academy_expanded.txt,64,64
Khan Academy/Political participation | AP US Government and Politics | Khan/Electoral college  American civics  US History  Khan Academy_expanded.txt,101,105
Khan Academy/Political participation | AP US Government and Politics | Khan/Cost and duration of modern campaigns  US government and civics  Khan Academy_expanded.txt,62,62
Khan Academy/Political participation | AP US Government and Politics | Khan/The presidential incumbency advantage  US government and civics  Khan Academy_expanded.txt,39,39
Khan Academy/Political participation | AP US Government and Politics | Khan/Impact of media evolution on politics  US government and civics  Khan Academy_expanded.txt,37,37
Khan Academy/Political participation | AP US Government and Politics | Khan/Linkage institutions and political parties  US government and civics  Khan Academy_expanded.txt,71,71
Khan Academy/Political participation | AP US Government and Politics | Khan/Third parties in the United States  US government and civics  Khan Academy_expanded.txt,45,45
Khan Academy/Political participation | AP US Government and Politics | Khan/Campaign finance  Political participation  US government and civics  Khan Academy_expanded.txt,82,82
Khan Academy/Political participation | AP US Government and Politics | Khan/Open primaries closed primaries and blanket primaries  US government and civics  Khan Academy_expanded.txt,77,77
Khan Academy/Political participation | AP US Government and Politics | Khan/Media as a linkage institution  Political participation  US government and civics  Khan Academy_expanded.txt,44,44
Khan Academy/Political participation | AP US Government and Politics | Khan/Evolution of political parties in picking candidates and voter mobilization  Khan Academy_expanded.txt,48,49
Khan Academy/Political participation | AP US Government and Politics | Khan/Voter turnout  Political participation  US government and civics  Khan Academy_expanded.txt,124,125
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/Jim Crow part 2  The Gilded Age (1865-1898)  US History  Khan Academy_expanded.txt,32,32
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/Continuity and change in the Gilded Age  Period 6 1865-1898  AP US History  Khan Academy_expanded.txt,69,69
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/Jim Crow part 4  The Gilded Age (1865-1898)  US History  Khan Academy_expanded.txt,55,59
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/Westward expansion social and cultural development  AP US History  Khan Academy_expanded.txt,75,85
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/The Gilded Age part 1  The Gilded Age (1865-1898)  US History  Khan Academy_expanded.txt,114,127
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/Jim Crow part 1  The Gilded Age (1865-1898)  US History  Khan Academy_expanded.txt,44,44
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/Darwinism vs Social Darwinism part 1  US History  Khan Academy_expanded.txt,91,91
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/Darwinism vs Social Darwinism part 2  US History  Khan Academy_expanded.txt,58,58
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/The Gilded Age part 2  The Gilded Age (1865-1898)  US History  Khan Academy_expanded.txt,148,148
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/Jim Crow part 3  The Gilded Age (1865-1898)  US History  Khan Academy_expanded.txt,13,13
Khan Academy/Period 6: 1865-1898 | AP US History | Khan Academy/Immigration and migration in the Gilded Age  Period 6 1865-1898  AP US History  Khan Academy_expanded.txt,70,70
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/Origins of European exploration in the Americas_expanded.txt,71,71
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/Consequences of Columbuss voyage on the Tainos and Europe_expanded.txt,98,98
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/Native American societies before contact  Period 1 1491-1607  AP US History  Khan Academy_expanded.txt,30,30
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/Thinking like a historian  The historians toolkit  US History  Khan Academy_expanded.txt,83,83
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/How to read a document  The historians toolkit  US History  Khan Academy_expanded.txt,165,165
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/Comparing European and Native American cultures  US history  Khan Academy_expanded.txt,56,56
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/Christopher Columbus_expanded.txt,35,35
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/Spanish colonization  Period 1 1491-1607  AP US History  Khan Academy_expanded.txt,61,61
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/The Columbian Exchange_expanded.txt,54,54
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/How to read a document part 2  The historians toolkit  US History  Khan Academy_expanded.txt,144,144
Khan Academy/Worlds collide (1491-1607) | US history | Khan Academy/Avoiding common mistakes in historical essays  US History  Khan Academy_expanded.txt,72,72
Khan Academy/Period 3: 1754-1800 | AP US History/The Seven Years War part 1_expanded.txt,72,72
Khan Academy/Period 3: 1754-1800 | AP US History/The US Constitution  Period 3 1754-1800  AP US History  Khan Academy_expanded.txt,69,69
Khan Academy/Period 3: 1754-1800 | AP US History/The Articles of Confederation  Period 3 1754-1800  AP US History  Khan Academy_expanded.txt,50,50
Khan Academy/Period 3: 1754-1800 | AP US History/Social consequences of revolutionary ideals  US history  Khan Academy_expanded.txt,48,48
Khan Academy/Period 3: 1754-1800 | AP US History/The Constitutional Convention  Period 3 1754-1800  AP US History  Khan Academy_expanded.txt,67,67
Khan Academy/Period 3: 1754-1800 | AP US History/The Declaration of Independence  Period 3 1754-1800  AP US History  Khan Academy_expanded.txt,87,87
Khan Academy/Period 3: 1754-1800 | AP US History/Regional attitudes about slavery 1754-1800  US history  Khan Academy_expanded.txt,57,57
Khan Academy/Period 3: 1754-1800 | AP US History/The Seven Years War part 2_expanded.txt,56,56
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Brown v Board of Education of Topeka  US government and civics  Khan Academy_expanded.txt,110,114
